Número,Mov,Facção,Transporte,Unitário,Desc Período OP,Ficha,Produto Custo,Observação,Descrição2,Peso Talhado,Índice,Grupo Prod,Desc Grupo Prod,Comp1,Comp2,Preço Produto,Entrega,Qtde Estampa,Preço Inv,Cidade,Endereço,Número End,Bairro,Fantasia,Dias,Dt Inicio,Dt Final,Tab Observação,Posse,Setor Reprocesso,Desc Reprocesso,Prog Setor,Dias Semana,Codigo2,Preço OP,Cliente Cnpj,Local,Nome Transp,Ord Setor,Local Produto,Tipo OP,Desc Tipo OP,Fac Operadores,Família,Desc Família,Grupo Família,Desc Grupo Família,Grupo Fac,Desc Grupo Fac,Grupo Setor,Desc Grupo Setor,Pedidos Prog,Nota Remessa,Descrição do Local,Retorno das Peças,Dt Limite,Dt Entrega,Marca,Desc Marca,Descrição Facção,Código,Produto Descrição,Parte,Desc Parte,Estoque,Etiqueta,Desc Etiqueta,Cor,Desc Cor,Tamanho,Ord Tam,Qtde Original,Qtde,Qtde Segunda,Qtde Incompleta,Qtde Faltante,Data Saída,Data Retorno,Fluxo,Desc Fluxo,Setor,Obs,Desc Setor,Tabela Preço,UN,Produto Status,Cliente Ped,Ped Cliente,RIS,Pedido,Pedido Codcli,Dt Fatura Ped,Ped Período,Ped Desc Período,Cliente Telefone,Cliente Consumos,Observação OF2,Dt Prevista,Grupo Cli,Desc Grupo Cli,Dt Prev Mov,Dias Fatura,Dias Retorno,Dias Parado,Qtde Pend,Preço Custo,Preço,Tempo,Tempo Total,Perc,Tab Cli Preço,Preço Padrão,Período OP,Coleção,Desc Coleção,Linha,Desc Linha,Soma Peças,Reprocesso,Opções
076914,0,834,,0,AMOSTRA,18/09,0,,B38,0,0,T00,TOP CURTO (TOP),,EST 1 COR,0,00/01/1900,2,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,08/06/2026,08/07/2026,,1,,,,0,,0,00.577.158/0001-29,,,0,1 Ag F,0,OP PRODUÇÃO,0,0,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.19.00.0156A,TOP CURTO,CO,COR,N,58O,58O - AW27 CENTAURO - INVERNO 27 - OXER,50,A DEFINIR,M,22,4,0,0,0,0,08/06/2026,08/06/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-107,107,4,,,0,0,0,0,0,A,51,CENTAURO,12,FEMININO,N,N,SSNN
076915,0,834,,0,AMOSTRA,24/06,0,,B26,0,0,T00,TOP CURTO (TOP),,EST. COSTAS 4 CORES + GEL,0,00/01/1900,3,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,08/06/2026,08/07/2026,,1,,,,0,,0,00.577.158/0001-29,,,0,1 Ag F,0,OP PRODUÇÃO,0,0,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.20.00.0157,TOP CURTO,CO,COR,N,58O,58O - AW27 CENTAURO - INVERNO 27 - OXER,50,A DEFINIR,M,22,4,0,0,0,0,08/06/2026,08/06/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-107,107,4,,,0,0,0,0,0,A,51,CENTAURO,11,MASCULINO,N,N,SSNN
076916,0,834,,0,AMOSTRA,24/06,0,,B26,0,0,T00,TOP CURTO (TOP),,EST. FR E COST. 3 CORES CADA,0,00/01/1900,4,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,08/06/2026,08/07/2026,,1,,,,0,,0,00.577.158/0001-29,,,0,1 Ag F,0,OP PRODUÇÃO,0,0,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.20.00.0157A,TOP CURTO,CO,COR,N,58O,58O - AW27 CENTAURO - INVERNO 27 - OXER,50,A DEFINIR,M,22,4,0,0,0,0,08/06/2026,08/06/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-107,107,4,,,0,0,0,0,0,A,51,CENTAURO,11,MASCULINO,N,N,SSNN
076931,0,834,,0,AMOSTRA,26/06,0,,B27,0,0,T00,TOP CURTO (TOP),,,0,00/01/1900,4,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,10/06/2026,10/07/2026,,1,,,,0,,0,00.577.158/0001-29,,,0,1 Ag F,0,OP PRODUÇÃO,0,0,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.20.00.0158,TOP CURTO,CO,COR,N,58A,58A - AW27 CENTAURO - INVERNO 27 - ASICS,50,A DEFINIR,M,22,4,0,0,0,0,10/06/2026,10/06/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-105,105,4,,,0,0,0,0,0,A,51,CENTAURO,11,MASCULINO,N,N,SSNN
077042,0,834,,0,AMOSTRA,26/06,0,,B27,0,0,T00,TOP CURTO (TOP),,,0,00/01/1900,4,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,12/06/2026,12/07/2026,,1,,,,0,,0,00.577.158/0001-29,,,0,1 Ag F,0,OP PRODUÇÃO,0,0,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.20.00.0158-1,TOP CURTO,CO,COR,N,58A,58A - AW27 CENTAURO - INVERNO 27 - ASICS,50,A DEFINIR,M,22,4,0,0,0,0,12/06/2026,12/06/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-103,103,4,,,0,0,0,0,0,A,51,CENTAURO,11,MASCULINO,N,N,SSNN
077132,0,834,,0,AMOSTRA,17/07,0,,B29,0,0,T14,POLO LONGO (TOP),,,0,00/01/1900,0,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,17/06/2026,17/07/2026,,1,,,,0,,0,00.577.158/0001-29,,,0,1 Ag F,0,OP PRODUÇÃO,0,0,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,149,SEM LICENÇA HERING,CONFECCOES ONEDA LTDA,13.15.00.0631A,POLO LONGO,CO,COR,N,HXI,HXI - HERING INVERNO 27,50,A DEFINIR,6,14,4,0,0,0,0,17/06/2026,17/06/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-98,98,4,,,0,0,0,0,0,A,H02,T53 - HERING KIDS A,12,FEMININO,N,N,SSNN
077204,0,834,,0,AMOSTRA,28/09,0,,B38,0,0,T00,TOP CURTO (TOP),Bordado conferir GS na combinação,Estampa Frente 3 cores + Puff / Estampa Costas 4 cores + Puff,0,00/01/1900,3,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,22/06/2026,22/07/2026,,1,,,,0,,0,00.577.158/0001-29,,,0,1 Ag F,0,OP PRODUÇÃO,0,0,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.20.00.0159,TOP CURTO,CO,COR,N,58A,58A - AW27 CENTAURO - INVERNO 27 - ASICS,50,A DEFINIR,M,22,4,0,0,0,0,22/06/2026,22/06/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-93,93,4,,,0,0,0,0,0,A,51,CENTAURO,11,MASCULINO,N,N,SSNN
077305,0,834,,0,AMOSTRA,,0,,,0,0,T00,TOP CURTO (TOP),"cust alternativo: tag 0,80 / transfer 0,60",,0,00/01/1900,0,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,25/06/2026,25/07/2026,,1,,,,0,,0,00.577.158/0001-29,,,0,1 Ag F,0,OP PRODUÇÃO,0,0,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.20.00.0160,TOP CURTO,CO,COR,N,58A,58A - AW27 CENTAURO - INVERNO 27 - ASICS,50,A DEFINIR,M,22,4,0,0,0,0,25/06/2026,25/06/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-90,90,4,,,0,0,0,0,0,A,51,CENTAURO,11,MASCULINO,N,N,SSNN
077306,0,834,,0,AMOSTRA,24/07,0,,B30,0,0,T00,TOP CURTO (TOP),"cust alternativo: tag 0,80 / transfer 0,60 - Custo embossed na comb.","R$:1,90 COM PROTEÇÃO",0,00/01/1900,1,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,25/06/2026,25/07/2026,,1,,,,0,,0,00.577.158/0001-29,,,0,1 Ag F,0,OP PRODUÇÃO,0,0,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.20.00.0161,TOP CURTO,CO,COR,N,58A,58A - AW27 CENTAURO - INVERNO 27 - ASICS,50,A DEFINIR,M,22,4,0,0,0,0,25/06/2026,25/06/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-90,90,4,,,0,0,0,0,0,A,51,CENTAURO,11,MASCULINO,N,N,SSNN
077311,0,834,,0,AMOSTRA,10/07,0,,B28,0,0,T00,TOP CURTO (TOP),,Bord: conferir na combinação,0,00/01/1900,3,0,GASPAR,AVENIDA DEPUTADO FRANCISCO MASTELLA,3955,SETE DE SETEMBRO,,0,25/06/2026,25/07/2026,,1,,,,0,,0,00.577.158/0001-29,,,0,1 Ag F,0,OP PRODUÇÃO,0,0,CLASSIFICAR MODELO/FAMILIA,,,0097,GERAL,PRD,PRD - FASE PRODUTO,,,Agu retor Feira / pos fei,,00/01/1900,23/06/2021,139,CENTAURO,CONFECCOES ONEDA LTDA,05.20.00.0159-1,TOP CURTO,CO,COR,N,58A,58A - AW27 CENTAURO - INVERNO 27 - ASICS,50,A DEFINIR,M,22,4,0,0,0,0,25/06/2026,25/06/2026,D41,FLUXO DE PENDENCIA DE COR,D01,,PENDENTE COR NOVA,0,PC,PENDENTE DESENVOLVIMENTO,,,,,,00/01/1900,,,(47) 3332-5004,0,,,,,,0,-90,90,4,,,0,0,0,0,0,A,51,CENTAURO,11,MASCULINO,N,N,SSNN
